line_index,full_address,lat,lon
242,"16-18 BELMORE STRE, PENRITH, NSW 2750, Australia",-33.7514444,150.699068
243,"215 PENNANT HILLS ROAD, THORNLEIGH, NSW 2120, Australia",-33.7268633,151.0844307
244,"29 BELLINGHAM STREET, NARELLAN, NSW 2567, Australia",-34.0386413,150.7327927
245,"198 FIFTEENTH AVENUE, WEST HOXTON, NSW 2171, Australia",-33.921347,150.8316163
246,"19 KIRKCALDY STREET, BATHURST, NSW 2795, Australia",-33.4364752,149.5794285
247,"214-218 PARRY STREET, Newcastle West, NSW 2302, Australia",-32.9246009,151.7553634
248,"223 MACQUARIE STREET, DUBBO, NSW 2830, Australia",-32.2524167,148.6000672
249,"36 BARNES STREET, TAMWORTH, NSW 2340, Australia",-31.0908993,150.9134865
250,"15 LUXFORD ROAD, MOUNT DRUITT, NSW 2770, Australia",-33.7654814,150.8255945
251,"303 CAMDEN VALLEY WAY, NARELLAN, NSW 2567, Australia",-34.0405046,150.7334647
252,"UNIT 2, 20 BUTTONWOOD PLACE, ACACIA RIDGE QLD, 4110",-27.603409,153.0301897
253,"UNIT 2, 50 HONEYCOMB DRIVE, EASTERN CREEK NSW, 2766",-33.8020777,150.8362488
254,"276 MILLER ROAD, VILLAWOOD, NSW 2163, Australia",-33.8875913,150.9921296
255,"SHOP 3/20 ORANGE GROVE ROAD, LIVERPOOL, NSW 2170, Australia",-33.9078528,150.9198374
256,"327 RIVER STREET P.O BOX 230, BALLINA, NSW 2478, Australia",-28.86587859999999,153.5499422
257,"CNR YORK ROAD & BATTS STREET, PENRITH, NSW 2750, Australia",-33.7634058,150.6888657
258,"2 DIAMANTINA CLOSE, ST CLAIR, NSW 2759, Australia",-33.7948324,150.7993554
259,"260 SHELLHARBOUR ROAD, WARILLA, NSW 2528, Australia",-34.5598063,150.8594366
260,"6-8 BOTANY STREET, PHILLIP, ACT 2606, Australia",-35.3510311,149.0867342
261,"2 RENSHAW STREET, BINNAWAY, NSW 2395, Australia",-31.5524831,149.3766455
262,"15 GARLING ROAD, KINGS PARK, NSW 2148, Australia",-33.7465083,150.9131906
263,"Unit 28, 7-13 Victoria Avenue, CASTLE HILL NSW, 2154",-33.7327006,150.9812529
264,"86 GLOSSOP STREET, ST MARYS, NSW 2760, Australia",-33.761739,150.7817697
265,"63 BLAXLAND RD, CAMPBELLTOWN, NSW 2560, Australia",-34.0608711,150.8110834
266,"194 ANDERSON DRIVE, BERESFIELD, NSW 2322, Australia",-32.803663,151.6519378
267,"PO BOX 6360, BAULKHAM HILLS, NSW 2153, Australia",-33.7619106,150.9929255
268,"1 CLAREMONT AVENUE, GREENACRE, NSW 2190, Australia",-33.8994653,151.0394637
269,"24 PINE AVENUE, TUNCURRY, NSW 2428, Australia",-32.1665564,152.4943582
270,"10 CHURCH STREET, BEGA, NSW 2550, Australia",-36.6724896,149.842614
271,"22 ASTON ROAD, ERINA, NSW 2250, Australia",-33.434292,151.3846657
272,"36 GLADSTONE STREET, FYSHWICK, ACT 2609, Australia",-35.322577,149.174935
273,"41 MONRO AVENUE, KIRRAWEE, NSW 2232, Australia",-34.0304527,151.0724499
274,"701 MEDOWIE ROAD, MEDOWIE, NSW 2318, Australia",-32.7474338,151.8685309
275,"7/11 MAITLAND ROAD, MAYFIELD, NSW 2304, Australia",-32.9051821,151.7466854
276,"52 CAMPBELL STREET, BLACKTOWN, NSW 2148, Australia",-33.7722891,150.909654
277,"12-14 WOLLUMBIN STREET, MURWILLUMBAH, NSW 2484, Australia",-28.3281365,153.3978728
278,"74 PRINCES HIGHWAY, ULLADULLA, NSW 2539, Australia",-35.3507871,150.4760306
279,"605 CHURCH STREET, NORTH PARRAMATTA, NSW 2151, Australia",-33.7957753,151.0008943
280,"UNIT 19, 2 SOUTH BURROWS ROAD, ST PETERS NSW, 2044",-33.9208223,151.1770573
281,"3/10 KETCH CLOSE FOUNTAINDALE, OURIMBAH, NSW 2258, Australia",-33.3306683,151.4081327
282,"140 PITTWATER ROAD, GLADESVILLE, NSW 2111, Australia",-33.82141,151.134191
283,"CNR LONG STREET & GIPPS ROAD, SMITHFIELD, NSW 2164, Australia",-33.8387787,150.92632
284,"LOT 56 MORILLA STREET, LIGHTNING RIDGE, NSW 2834, Australia",-29.426925,147.9815775
285,"18A PENDLEBERRY ROAD, CARDIFF, NSW 2285, Australia",-32.9495543,151.6527537
286,"51 HUNTER STREET, HORNSBY, NSW 2077, Australia",-33.7018764,151.1006432
